title,sys_update,description
Malaysia Airlines NW26 Regional Service Increases,2026-08-24 09:42:17,"Published at 0200PDT / 0900GMT 21AUG26Malaysia Airlines in recent schedule update filed expanded regional service for Northern winter 2026/27 season. Planned service expansion includes the following.Kuala Lumpur – Fukuoka eff 01DEC26 Increase from 5 to 7 weekly, 737 MAX 8Kuala Lumpur – Manila eff 25OCT26 Increase from 3 to 4 daily, 737 MAX 8Kuala Lumpur – Surabaya eff 25OCT26 Increase from 14 to 16 weekly, 737-800/MAX 8 Kuala Lumpur – Xiamen eff 04JAN27 Increase from 4 to 5 weekly, 737-800"
Update: SalamAir 2H26 Muscat – Medan Operations,2026-08-24 10:00:01,"Published at 0400PDT / 1100GMT 23AUG26AeroRoutes on 21AUG26 published the update regarding SalamAir’s Muscat – Medan Kualanamu service, based on available flights for reservations listed on the airline website. Since then, AeroRoutes has been advised by the officials from Medan Kualanamu International Airport regarding this matter.For the period of 15SEP26 – 25SEP26, bookings are shown as “full” for Muscat departure due to high demand. Departures from Medan during this period are showing some flights are available for reservations.For flights on/after 27OCT26, the airport has advised due to regulatory approval issues, reservations are not available, however it does expect reservations for the 3 weekly flights to be available in the near future.OV901 MCT1735 – 0305+1KNO 32Q 2OV901 MCT1745 – 0315+1KNO 32Q 57OV902 KNO0400 – 0725MCT 32Q 3OV902 KNO0405 – 0730MCT 32Q 16This update supersedes the post published on 21AUG26, which the original post has been removed."
Air China Sep/Oct 2026 Beijing – Vancouver Service Increases,2026-08-24 10:00:01,"Published at 1600PDT / 2300GMT 22AUG26Star Alliance member Air China from late-September 2026 schedules service increase on Beijing Capital – Vancouver route, as the carrier plans to increase from 3 to 5 weekly from 27SEP26, on board Boeing 777-300ER.Planned frequency increase is currently in effect until 24OCT26.CA991 PEK1350 – 1000YVR 773 47CA991 PEK1355 – 1000YVR 773 5CA991 PEK1400 – 1000YVR 773 13CA992 YVR1300 – 1700+1PEK 773 5CA992 YVR1300 – 1705+1PEK 773 47CA992 YVR1300 – 1715+1PEK 773 13"
Virgin Australia NW26 Perth – Alice Springs Charters,2026-08-24 10:00:01,"Published at 2000PDT 21AUG26 / 0300GMT 22AUG26Virgin Australia during Northern winter 2026/27 season plans to operate charter service on Perth – Alice Springs route, on board Boeing 737-700 aircraft. The weekly charter flight is scheduled from 30OCT26 to 29JAN27 on Fridays.VA9491 PER0545 – 1010ASP 73W 5VA9492 ASP1050 – 1250PER 73W 5"
Air Arabia Adds Sharjah – Katowice From Dec 2026,2026-08-24 10:00:01,"Published at 1900PDT 21AUG26 / 0200GMT 22AUG26Air Arabia during Northern winter 2026/27 season schedules new route launch to Poland, where the airline plans Sharjah – Katowice route. The carrier to serve this route with Airbus A320ceo/320neo from 17DEC26, 5 times weekly.G9689 SHJ0800 – 1120KTW 32N 15G9769 SHJ1755 – 2115KTW 320 4G9769 SHJ1755 – 2115KTW 32N 6G9690 KTW1210 – 2055SHJ 32N 15G9770 KTW2205 – 0650+1SHJ 320 4G9770 KTW2205 – 0650+1SHJ 32N 6"
easyJet Discontinues Leeds/Bradford Service in early-Jan 2027,2026-08-24 10:00:01,"Published at 1800PDT 21AUG26 / 0100GMT 22AUG26easyJet in early-January 2027 plans to discontinue service at Leeds/Bradford, as the carrier gradually ends its remaining 3 routes. Affected routes include the following.Leeds/Bradford – Barcelona 2 weekly A319 until 04NOV26Leeds/Bradford – Dublin 4 weekly A319/320 until 04JAN27Leeds/Bradford – Paris Charles de Gaulle 2 weekly A319/320 until 01JAN27The airline in the last few weeks already removed seasonal Leeds/Bradford – Geneva route, previously scheduled once a week for the period of 23JAN27 – 13FEB27."
Wizz Air Expands Brasov Network in NW26,2026-08-24 10:00:01,"Published at 1701PDT 21AUG26 / 0001GMT 22AUG26Wizz Air during Northern winter 2026/27 season plans to launch 5 routes from Brasov, announced earlier this month. Planned network additions include the following.Brasov – Barcelona eff 18DEC26 2 weekly A321neoBrasov – Chisinau eff 17DEC26 3 weekly A321neoBrasov – Karlsruhe/Baden-Baden eff 18DEC26 2 weekly A321neoBrasov – Madrid eff 20DEC26 2 weekly A321neoBrasov – Nuremberg eff 26OCT26 2 weekly A321neoServices are operated by Wizz Air Malta under W4-coded flight numbers."
JTA Doubles Okinawa – Taipei Flights From Sep 2026,2026-08-24 10:00:01,"Published at 1600PDT / 2300GMT 21AUG26Japan TransOcean Air (JTA) this week announced service expansion on Okinawa – Taipei Taoyuan route, with the launch of 2nd daily flight from 24SEP26, on board Boeing 737-800.Initially, the 2nd daily flight will operate during following dates in September and October 2026, then becoming daily operation from 24OCT26:September 2026: 24, 25, 27, 28October 2026: 09, 11, 12Schedule below focuses on 01DEC26 – 31JAN27.NU301 OKA0830 – 0915TPE 73H DNU307 OKA1755 – 1840TPE 73H DNU302 TPE1015 – 1245OKA 73H DNU308 TPE1940 – 2210OKA 73H D"
SIA Adds Lufthansa Kuala Lumpur Codeshare in NW26,2026-08-24 10:00:01,"Published at 1500PDT / 2200GMT 21AUG26Singapore Airlines (SIA) at the launch of Northern winter 2026/27 season plans to expand codeshare partnership with Lufthansa, covering the latter’s Frankfurt – Kuala Lumpur route from 25OCT26. The latter to serve this route with 787-9 aircraft 5 times weekly.LH704/SQ2274 FRA2130 – 1640+1KUL 789 x24LH705/SQ2275 KUL2355 – 0600+1FRA 789 x35"
flyadeal Adds Madinah – Karachi From Sep 2026,2026-08-24 10:00:01,"Published at 1400PDT / 2100GMT 21AUG26Saudi low-cost carrier flyadeal in September 2026 plans to expand service to Pakistan, with the launch of 2 weekly Madinah – Karachi route on 05SEP26. Airbus A320 aircraft to operate this route.F3833 MED2350 – 0600+1KHI 320 26F3834 KHI0700 – 0905MED 320 37"
IndiGo Resumes Hyderabad – Male in NW26,2026-08-24 10:00:01,"Published at 1300PDT / 2000GMT 21AUG26Indian carrier IndiGo during Northern winter 2026/27 season schedules service resumption on Hyderabad – Male route, last served until January 2025. The airline will operate this service on board Airbus A320neo aircraft from 02DEC26 to 31JAN27, 4 times weekly.6E1137 HYD1515 – 1725MLE 32N x2466E1138 MLE1825 – 2130HYD 32N x246"
IndiGo Discontinues Reunion Service in late-Oct 2026,2026-08-24 10:00:01,"Published at 1200PDT / 1900GMT 21AUG26Indian carrier IndiGo earlier this month filed additional changes to Reunion, as the airline extends service reductions on Chennai – St. Denis de la Reunion route. The airline will continue to operate 2 weekly flights from 27SEP26, instead of 3 weekly.In addition, the airline will operate last flight on this route on 21OCT26. Operations for October 2026 as follows.6E1871 MAA1220 – 1710RUN 32N 376E1872 RUN1810 – 0210+1MAA 32N 14Separately, the airline has discontinued Kolkata – Ho Chi Minh City service. The airline previously suspended this route from 01JUL26 to 30SEP26, however the cancellation is being extended beyond 01OCT26."
Fly2Galicia Outlines Initial Network From Dec 2026,2026-08-24 10:00:01,"Published at 1100PDT / 1800GMT 21AUG26Spain’s Fly2Galicia in the last few days opened reservations with planned operation on board leased Airbus A320 aircraft under 4D-coded flight numbers. The airline plans to launch operations on 01DEC26, initially with 17 weekly departures from Santiago de Compostela scheduled to 8 destinations.Santiago de Compostela – Alicante eff 03DEC26 3 weekly Santiago de Compostela – Brussels eff 01DEC26 2 weeklySantiago de Compostela – Granada eff 03DEC26 2 weeklySantiago de Compostela – Milan Malpensa eff 04DEC26 2 weeklySantiago de Compostela – Munich eff 03DEC26 2 weeklySantiago de Compostela – Prague eff 02DEC26 2 weeklySantiago de Compostela – Venice Marco Polo eff 02DEC26 2 weeklySantiago de Compostela – Zaragoza eff 01DEC26 2 weekly"
Delta 2026-27 Holidays Florida Service Increases,2026-08-24 10:00:01,"Published at 1000PDT / 1700GMT 21AUG26Delta during 2026-27 Holidays season schedules extra routes to/from Orlando, with additional 4 routes scheduled from 19DEC26 – 03JAN27.Orlando – Indianapolis 19DEC26 – 03JAN27 5 weekly Embraer E175 (Republic Airways)Orlando – Kansas City 19DEC26 – 03JAN27 5 weekly Embraer E175 (Republic Airways)Orlando – Nashville 19DEC26 – 03JAN27 5 weekly Embraer E175 (Republic Airways)Orlando – Pittsburgh 19DEC26 – 03JAN27 5 weekly Embraer E175 (Republic Airways)Separately, selected routes to/from Florida will also see additional flights during the same period:Fort Lauderdale/Hollywood – Raleigh/Durham 19DEC26 – 03JAN27 Increase from 1 to 3 daily, A319/320/CRJ900 (Endeavor Air)Miami – Raleigh/Durham 19DEC26 – 03JAN27 Increase from 1 to 2 daily, A319/CRJ900 (Endeavor Air)Tampa – Cincinnati 19DEC26 – 03JAN27 Increase from 1 to 2 daily, 737-800/CRJ900 (Endeavor Air)"
Allegiant Air Feb 2027 Network Additions,2026-08-24 10:00:01,Published at 0900PDT / 1600GMT 21AUG26Allegiant Air this week opened reservations for 9 new routes scheduled from February 2027. Planned network addition overview as follows.Fort Lauderdale/Hollywood – Portsmouth 20FEB27 – 01MAY27 1 weekly 737 MAX 8-200Fort Lauderdale/Hollywood – Providence 13FEB27 – 24APR27 1 weekly 737 MAX 8-200Orlando – Cincinnati eff 12FEB27 2 weekly A320Orlando Sanford – Boston 13FEB27 – 24APR27 1 weekly 737 MAX 8-200Orlando Sanford – Grand Forks 10FEB27 – 17APR27 2 weekly 737 MAX 8-200/A319/A320Orlando Sanford – Providence 13FEB27 – 25APR27 1 weekly A319Punta Gorda – Boston 13FEB27 – 24APR27 1 weekly A319St. Petersburg/Clearwater – Boston 13FEB27 – 24APR27 1 weekly A319Sarasota – Providence 13FEB27 – 24APR27 1 weekly A320
Air Canada 2026-27 Holidays Toronto – Paris Service Increase,2026-08-24 10:00:01,"Published at 0800PDT / 1500GMT 21AUG26Air Canada during 2026-27 Holidays season plans service increase on Toronto Pearson – Paris Charles de Gaulle route, as overall service to increase from 7 to 10 weekly. Planned frequency increase is in effect from 18DEC26 to 10JAN27, operated by a mix of Airbus A330-300 and 787-8.AC872 YYZ2050 – 1035+1CDG 333 DAC884 YYZ2155 – 1140+1CDG 788 257AC873 CDG1205 – 1445YYZ 333 DAC885 CDG1345 – 1625YYZ 788 136"
ITA Airways NW26 Intercontinental Service Changes – 20AUG26,2026-08-24 10:00:01,"Published at 0600PDT / 1300GMT 21AUG26ITA Airways in recent weeks filed additional changes to its planned intercontinental operations for Northern winter 2026/27 season. Planned changes as of 20AUG26 include the following.Rome Fiumicino – Algiers eff 25OCT26 Reduce from 12 to 10 weekly, A319Rome Fiumicino – Buenos Aires Ezeiza 24OCT26 – 11NOV26 Service reduces from 9 to 7 weekly. Inbound flight operates via Rio de Janeiro Galeaoeff 15NOV26 Increase from 9 to 10 weekly, A350-900Rome Fiumicino – Houston eff 25OCT26 3 weekly A330-900neo service scheduled in NW2609JAN27 – 28FEB27 Seasonal service suspensionRome Fiumicino – Male Frequency increase in 1Q27, from 3 weekly to following with A330-900neo11JAN27 – 03FEB27 4 weekly04FEB27 – 27MAR27 5 weeklyRome Fiumicino – San Francisco 11JAN27 – 01MAR27 Seasonal service suspensionRome Fiumicino – Washington Dulles 10JAN27 – 01MAR27 Seasonal service suspensionPreviously reported changes:Rome Fiumicino – Fort-de-France eff 05DEC26 1 weekly A330-900neo (scheduled charter)Rome Fiumicino – Mauritius eff 25OCT26 Increase from 2 weekly in NW25 to 3 weekly, A330-900neoRome Fiumicino – Santo Domingo eff 30NOV26 1 weekly A330-900neo (2 weekly from 20DEC26. Alitalia last served Santo Domingo until October 1998)"
ITA Airways NW26 Germany Service Reductions,2026-08-24 10:00:01,Published at 0500PDT / 1200GMT 21AUG26ITA Airways in recent schedule update filed service reductions to Germany for Northern winter 2026/27 season. Planned adjustments as follows.Rome Fiumicino – Frankfurt eff 25OCT26 Reduce from 2 to 1 dailyAZ400 FCO0835 – 1040FRA 223 157AZ404 FCO1520 – 1725FRA EQV x157AZ403 FRA1130 – 1330FCO 223 157AZ407 FRA1815 – 2015FCO EQV x157Rome Fiumicino – Munich eff 25OCT26 Reduce from 2 to 1 dailyAZ432 FCO0835 – 1010MUC 223 x157AZ436 FCO1635 – 1810MUC 220 157AZ437 MUC1100 – 1235FCO 223 x157AZ433 MUC1900 – 2040FCO 220 157Other notable minor service reductions:Rome Fiumicino – Brussels eff 25OCT26 Reduce from 14 to 13 weeklyRome Fiumicino – Zurich eff 25OCT26 Reduce from 14 to 13 weekly
ANA Tentatively Plans 1Q27 Tokyo – Milan Service Increases,2026-08-24 10:00:01,"Published at 0400PDT / 1100GMT 21AUG26Star Alliance member ANA this week filed schedule changes for Tokyo Haneda – Milan Malpensa route for Northern winter 2026/27 season. Based on this week’s update, the airline intends to increase service from 3 weekly to 7 weekly from 20FEB27 at the earliest.At time this post goes to press, ANA continues to show 3 weekly flights available for reservations for the period of 20FEB27 – 27MAR27. Further changes remain highly possible.Boeing 787-9 serves this route.NH207 HND2245 – 0555+1MXP 789 DNH208 MXP1020 – 0720+1HND 789 D"
GOL 1Q27 Rio de Janeiro – Lisbon Service Changes,2026-08-24 10:00:01,"Published at 0300PDT / 1000GMT 21AUG26Brasilian carrier GOL in last week’s schedule update revised planned A330-900neo service entry on Rio de Janeiro Galeao – Lisbon route. Previously scheduled to enter service on this route on 16JAN27, the A330neo is now scheduled to operate this route from 17FEB27, replacing Wamos Air A330-200.G37020 GIG0900 – 2140LIS 339 x247G37021 LIS2330 – 0630+1GIG 339 x247"
Malaysia Airlines NW26 Regional Service Increases,2026-08-24 10:00:01,"Published at 0200PDT / 0900GMT 21AUG26Malaysia Airlines in recent schedule update filed expanded regional service for Northern winter 2026/27 season. Planned service expansion includes the following.Kuala Lumpur – Fukuoka eff 01DEC26 Increase from 5 to 7 weekly, 737 MAX 8Kuala Lumpur – Manila eff 25OCT26 Increase from 3 to 4 daily, 737 MAX 8Kuala Lumpur – Surabaya eff 25OCT26 Increase from 14 to 16 weekly, 737-800/MAX 8 Kuala Lumpur – Xiamen eff 04JAN27 Increase from 4 to 5 weekly, 737-800"
Jetstar Japan Plans Okinawa – Kaohsiung Dec 2026 Launch,2026-08-24 16:00:01,"Published at 0000PDT / 0700GMT 24AUG26Jetstar Japan last week In the GDS and OAG filed operational schedule for its proposed international route during Northern winter 2026/27 season. The airline intends to launch 3 weekly Okinawa – Kaohsiung route on 06DEC26, with Airbus A320 aircraft.GK097 OKA1240 – 1335KHH 320 357GK098 KHH1435 – 1715OKA 320 357Planned operations remain subject to change."
Air Busan Adds Busan – Kagoshima Service in NW26,2026-08-24 17:00:01,"Published at 0100PDT / 0800GMT 24AUG26Air Busan at the launch of Northern winter 2026/27 season plans to launch regular service on Busan – Kagoshima route, on board 232-seater Airbus A321 aircraft. The airline to serve this route 3 times weekly from 25OCT26.BX9627 PUS1555 – 1715KOJ 321 357BX9628 KOJ1835 – 1940PUS 321 357"
Hainan Airlines Sep 2026 Shenzhen Long-Haul Reductions,2026-08-24 22:00:01,"Published at 0600PDT / 1300GMT 24AUG26Hainan Airlines in recent schedule update service reductions on long-haul service at Shenzhen, mainly for the month of September 2026. Planned service changes include the following.Shenzhen – Auckland 01SEP26 – 20SEP26 Reduce from 3 to 1 weekly (service reduced since 01JUL26)Shenzhen – Brussels 01SEP26 – 20SEP26 Reduce from 3 to 1 weekly (service reduced since 01JUL26)Shenzhen – Budapest 01SEP26 – 14SEP26 Reduce from 2 to 1 weekly (service reduced since 01JUL26)Shenzhen – Madrid 01SEP26 – 30SEP26 1 weekly service remains cancelled (service cancelled since 02MAY26) Shenzhen – Vienna01SEP26 – 02OCT26 2 weekly service remains cancelled (service cancelled since 30MAY26)"
Korean Air Adds Seoul – Hiroshima From late-Dec 2026,2026-08-24 22:00:01,"Published at 0500PDT / 1200GMT 24AUG26Korean Air today (24AUG26) opened reservations for new route to Japan, as the carrier schedules 1 daily Seoul Incheon – Hiroshima flight from 23DEC26. Service to be operated by Airbus A321neo aircraft.KE2183 ICN1035 – 1215HIJ 32Q DKE2184 HIJ1325 – 1525ICN 32Q D"
China Eastern Increases Shanghai – Vancouver Service From Jan 2027,2026-08-24 22:00:01,"Published at 0400PDT / 1100GMT 24AUG26China Eastern from January 2027 plans to increase service on Shanghai Pu Dong – Vancouver route, as the airline plans 5 weekly flights from 02JAN27, instead of 2 weekly. This route is operated by A350-900 aircraft.MU581 PVG1310 – 0810YVR 359 14MU581 PVG1340 – 0810YVR 359 367MU582 YVR1150 – 1640+1PVG 359 x25"
Starlux Increases Taipei – Ontario Service From Dec 2026,2026-08-24 22:00:01,"Published at 0300PDT / 1000GMT 24AUG26Starlux Airlines from December 2026 schedules service increase on Taipei Taoyuan – Ontario route, where the airline schedules 5th weekly flight, effective 01DEC26. Airbus A350-900 aircraft operates this route.JX010 TPE2030 – 1555ONT 359 x47JX009 ONT2145 – 0430+2TPE 359 x47"
Asiana Airlines Sep 2026 One-Time A380 Bangkok Flight,2026-08-24 22:00:01,"Published at 0200PDT / 0900GMT 24AUG26Asiana Airlines in September 2026 schedules one-time Airbus A380 service to Thailand, reflected in recent schedule update. The A380 will operate Seoul Incheon – Bangkok Suvarnabhumi service on 11-12SEP26, as OZ741/742.OZ743 ICN0705 – 1040BKK 32QOZ741 ICN1935 – 2335BKK 388 11SEP26OZ742 BKK0135 – 0855ICN 388 12SEP26OZ744 BKK1145 – 1925ICN 32Q"
VietJet Air Adds Hanoi – Tainan in late-Oct 2026,2026-08-25 09:07:57,"Published at 1800PDT 24AUG26 / 0100GMT 25AUG26VietJet Air during Northern winter 2026/27 season plans to resume service to Tainan, its 4th scheduled destination in Taiwan. Last served until October 2023 from Ho Chi Minh City, the airline plans to operate 4 weekly Hanoi – Tainan flights from 25OCT26.Operational schedule appeared in the GDS since Monday evening (24AUG26). Reservations are available on the airline’s website, however at highest fare level.VJ1942 HAN0750 – 1110TNN 321 x136VJ1943 TNN1210 – 1400HAN 321 x136"
Air India Expands Re-Configured Boeing 787 Network in NW26,2026-08-25 09:07:57,"Published at 1701PDT 24AUG26 / 0001GMT 25AUG26Air India during Northern winter 2026/27 season continues to ramp up the introduction of re-configured Boeing 787-8 and -9, as additional routes to/from Mumbai to see re-configured aircraft operating.250-seater Boeing 787-8Mumbai – Dubai eff 25OCT26 AI909/910 2 weekly (3 from 07DEC26)Mumbai – London Heathrow eff 25OCT26 AI129/128Mumbai – Tokyo Haneda eff 01FEB27 5 weekly278-seater Boeing 787-9Mumbai – Dubai eff 25OCT26 AI983/984 (1 daily), AI909/910 (2 weekly)Separately, the airline is upgauging aircraft on selected international routes, previously not covered on AeroRoutes:Delhi – Dubai eff 25OCT26 345-seater 777-300ER operates AI915/916 and selected AI929/930Delhi – Manila eff 25OCT26 259-seater 787-8 replaces A321neo, 1 dailyMumbai – Mauritius eff 01JAN27 259-seater 787-8 replaces A321neo, 1 daily"
AirAsia X Cancels Delhi Service From late-Oct 2026,2026-08-25 09:07:57,"Published at 1600PDT / 2300GMT 24AUG26AirAsia X today (24AUG26) announced the cancellation of Kuala Lumpur – Delhi route, as the airline cancels service from 25OCT26, the launch of Northern winter 2026/27 season. The airline currently operates this route 4 times weekly with Airbus A330-300 aircraft.D7182 KUL1850 – 2210DEL 333 x246D7183 DEL2330 – 0740+1KUL 333 x246"
Airblue Adds Multan – Riyadh From late-Sep 2026,2026-08-25 09:07:57,"Published at 1500PDT / 2200GMT 24AUG26Pakistani carrier Airblue from late-September 2026 schedules new route to Pakistan, as the airline announced the addition of Multan – Riyadh route, starting 26SEP26.PA874 MUX1300 – 1530RUH 320 46PA875 RUH1630 – 2245MUX 320 46"
flynas Adds Dammam – Karachi From Sep 2026,2026-08-25 09:07:57,"Published at 1400PDT / 2100GMT 24AUG26Saudi carrier flynas in September 2026 schedules additional service launch to Pakistan, as the airline plans 3 weekly Dammam – Karachi flights. Airbus A320neo to serve this route from 09SEP26.XY900 DMM1830 – 0015+1KHI 32N 357XY901 KHI0105 – 0255DMM 32N 146"
Royal Jordanian Tentatively Schedules Karachi Resumption in 1Q27,2026-08-25 09:07:57,"Published at 1300PDT / 2000GMT 24AUG26&nbsp;Royal Jordanian in the first quarter of 2027 intends to resume service to Karachi, last served until July 2005. The Oneworld member currently lists 4 weekly Amman – Karachi flights from 01MAR27, although further changes remain likely.RJ194 AMM0215 – 0830KHI 290 3RJ194 AMM0235 – 0850KHI 290 7RJ194 AMM2235 – 0450+1KHI 32N 14RJ195 KHI0550 – 0925AMM 32N 25RJ195 KHI0930 – 1305AMM 290 3RJ195 KHI0930 – 1325AMM 290 7"
Fly Jinnah Plans Karachi – Riyadh Sep 2026 Launch,2026-08-25 09:07:57,"Published at 1200PDT / 1900GMT 24AUG26Fly Jinnah from late-September 2026 plans to add new route to Saudi Arabia, with the launch of Karachi – Riyadh route. The airline currently schedules 3 weekly flights from 18SEP26, on board Airbus A320.9P610 KHI2300 – 0015+1RUH 320 1359P611 RUH0115 – 0615KHI 320 246"
SalamAir Adds Erbil in late-Oct 2026,2026-08-25 09:07:57,"Published at 1100PDT / 1800GMT 24AUG26Oman’s SalamAir has announced the launch of new route to Iraq, where the airline schedules Muscat – Erbil inaugural on 25OCT26. Airbus A320neo operates this route twice weekly, while selected dates to see A321neo operating.OV381 MCT1330 – 1540EBL 32N 37OV382 EBL1625 – 2025MCT 32N 37"
Somon Air Munich Service Changes From Aug 2026,2026-08-25 09:07:57,"Published at 1000PDT / 1700GMT 24AUG26Somon Air earlier this month adjusted service on Dushanbe – Munich route, scheduled on weekly basis. Since 15AUG26, westbound service no longer operates with technical stop at Trabzon, thanks to the introduction of Boeing 737 MAX 8 aircraft that enables the carrier operating nonstop in both directions.Service operates on Saturdays.SZ121 DYU0210 – 0605MUC 7M8 6SZ122 MUC1805 – 0325+1DYU 7M8 6"
Condor Adds Etihad Thailand Codeshare in 2H26,2026-08-25 09:07:57,"Published at 0900PDT / 1600GMT 24AUG26Condor in the second half of August 2026 expands codeshare partnership with Etihad, covering the latter’s service to Thailand. Bangkok and Phuket codeshare service has been in effect, while Chiang Mai and Phuket to be added at the launch of Northern winter 2026/27 season.Condor operated by EtihadAbu Dhabi – Bangkok SuvarnabhumiAbu Dhabi – Chiang MaiAbu Dhabi – KrabiAbu Dhabi – Phuket"
Aeroflot Plans Moscow – Phu Quoc Oct 2026 Launch,2026-08-25 09:07:57,"Published at 0800PDT / 1500GMT 24AUG26Aeroflot Russian Airlines in the fourth quarter of 2026 plans to launch new scheduled service to Vietnam, as the airline begins Moscow Sheremetyevo – Phu Quoc route on 15OCT26. Airbus A330-300 aircraft operates this route.Schedule below focuses on the month of November 2026.SU282 SVO2140 – 1110+1PQC 333 47SU283 PQC1310 – 2000SVO 333 15"
Spring Airlines Resumes Shijiazhuang – Jeju in NW26,2026-08-25 09:07:57,"Published at 0700PDT / 1400GMT 24AUG26Chinese carrier Spring Airlines at the launch of Northern winter 2026/27 season schedules service resumption on Shijiazhuang – Jeju route, last served until December 2018. The carrier plans to serve this route twice weekly from 25OCT26, with Airbus A320.&nbsp;9C6157 SJW1535 – 1855CJU 320 379C6158 CJU1955 – 2140SJW 320 37"
IndiGo Adds Gaya – Bangkok in NW26,2026-08-25 11:00:01,"Published at 1900PDT 24AUG26 / 0200GMT 25AUG26Indian low-cost carrier IndiGo at the launch of Northern winter 2026/27 season plans to launch new route to Thailand, as the carrier opened reservations for 2 weekly Gaya – Bangkok Suvarnabhumi flights. Airbus A320neo aircraft to serve this route from 26OCT26.6E1083 GAY1315 – 1750BKK 32N 146E1084 BKK1015 – 1215GAY 32N 14"
Fiji Airways Increases Noumea Flights From Dec 2026,2026-08-25 11:05:14,"Published at 2000PDT 24AUG26 / 0300GMT 25AUG26&nbsp;Fiji Airways from December 2026 plans to increase service to New Caledonia, with the addition of 3rd weekly Nadi – Noumea flight, effective 13DEC26. FJ291 NAN0800 – 1000NOU AT7 257FJ290 NOU1100 – 1500NAN AT7 257The Oneworld member is scheduled to resume this route with ATR72 aircraft twice weekly, effective 22SEP26."
Etihad 4Q26 Taipei Service Changes,2026-08-25 16:00:01,"Published at 0000PDT / 0700GMT 25AUG26Etihad Airways in last Friday’s schedule update (21AUG26) filed service changes on Abu Dhabi – Taipei Taoyuan route for the fourth quarter of 2026. From 25OCT26 to 16DEC26, the airline continues to operate 5 weekly flights, instead of 1 daily.With this adjustment, the airline to operate 1 daily flight from 27JAN27, instead of 25OCT26 (seasonal reduction to 5 weekly 17DEC26 – 26JAN27 remains unchanged).EY898 AUH2125 – 0900+1TPE 789 x36EY899 TPE1840 – 0030+1AUH 789 x47"
Nauru Airlines Resumes Pohnpei Service From Oct 2026,2026-09-08 16:49:56,"Published at 0100PDT / 0800GMT 08SEP26Nauru Airlines from October 2026 plans to resume service to The Federated States of Micronesia, after 3-month hiatus. From 02OCT26, the airline once again operates service to Pohnpei, with 1 weekly Naoero (Nauru) – Tarawa – Majuro – Pohnpei routing.In addition, Pohnpei departure days will now shift to Mondays. Service to be operated by Boeing 737-300, based on the airline’s web booking system.ON041 INU0550 – 0705TRW0805 – 0920MAJ1020 – 1130PNI 733 5ON042 PNI1120 – 1435MAJ1535 – 1650TRW1750 – 1905INU 733 1"
Air Moana Extra Tahiti – Hiva Oa Service in Sep 2026,2026-09-08 16:49:56,"Published at 0000PDT / 0700GMT 08SEP26Air Moana in September 2026 schedules extra service to The Marquesas Islands, with extra Papeete (Tahiti) – Atuona (Hiva Oa) service scheduled on 10SEP26 and 20SEP26, operating as nonstop terminator with ATR72 aircraft.NM822 PPT0605 – 0955AUQ AT7 10SEP26NM5302 PPT0605 – 0955AUQ AT7 20SEP26NM5302 AUQ1040 – 1330PPT AT7 10SEP26NM823 AUQ1040 – 1330PPT AT7 20SEP26"
West Air Resumes Chongqing – Bangkok in Oct 2026,2026-09-08 16:49:56,"Published at 2300PDT 07SEP26 / 0600GMT 08SEP26China West Air in October 2026 schedules service resumption on Chongqing – Bangkok Suvarnabhumi route, last served by the carrier in May and June 2023. The airline currently schedules 1 daily flight from 12OCT26, with Airbus A320 aircraft.PN6429 CKG1755 – 2015BKK 320 4PN6429 CKG1800 – 2015BKK 320 x4PN6430 BKK2115 – 0130+1CKG 320 D"
Loong Air Oct 2026 Limited Time Wenzhou – Bangkok Service,2026-09-08 16:49:56,"Published at 2200PDT 07SEP26 / 0500GMT 08SEP26Loong Air in the first half of October 2026 schedules limited time service on Wenzhou – Bangkok Suvarnabhumi service, on board Airbus A320 aircraft. From Wenzhou, service will be offered 3 times weekly from 29SEP26 to 08OCT26.GJ8615 WNZ2300 – 0210+1BKK 320 246GJ8616 BKK0310 – 0755WNZ 320 357"
9 Air Oct 2026 Haikou – Kota Kinabalu Operations,2026-09-08 16:49:56,"Published at 2100PDT 07SEP26 / 0400GMT 08SEP26Chinese carrier 9 Air in October 2026 schedules Haikou – Kota Kinabalu service, with 737-800 scheduled to operate every 5 days. First flight is scheduled on 11OCT26.AQ1293 HAK0155 – 0525BKI 738AQ1294 BKI0625 – 1000HAK 738"
Batik Air Malaysia Dec 2026/Jan 2027 Penang – Osaka Charters,2026-09-08 16:49:56,"Published at 2000PDT 07SEP26 / 0300GMT 08SEP26Batik Air Malaysia during 2026-27 New Year Holidays schedules Penang – Osaka Kansai charter, on board Boeing 737 MAX 8. Planned charter schedule on 30DEC26 and 03JAN27 as follows.OD8862 PEN0030 – 0805KIX 7M8OD8863 KIX0905 – 1435PEN 7M8"
